StatesName,CountryName
Andhra Pradesh,India
Arunachal Pradesh,India
Assam,India
Bihar,India
Chhattisgarh,India
Goa,India
Gujarat,India
Haryana,India
Himachal Pradesh,India
Jammu and Kashmir,India
Jharkhand,India
Karnataka,India
Kerala,India
Madhya Pradesh,India
Maharashtra,India
Manipur,India
Meghalaya,India
Mizoram,India
Nagaland,India
Odisha(Orissa),India
Punjab,India
Rajasthan,India
Sikkim,India
Tamil Nadu,India
Tripura,India
Uttar Pradesh,India
Uttarakhand,India
West Bengal,India
Andaman and Nicobar Islands,India
Chandigarh,India
Dadra and Nagar Haveli,India
Daman and Diu,India
Lakshadweep,India
New Delhi,India
Puducherry (Pondicherry),India
